None,Name:,Address:,City:,Province,full_address_x,Location Type:,Region:,Contact Name:,Contact Email:,Contact Position:,Contact Address:,lat,lon
98,Équipe D'Alphabétisation Nouvelle-Écosse ,79 Hill Rd (La Grange Acadienne) ,Chezzetcook,NS,79 Hill Rd   Chezzetcook NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",44.7065796,-63.2616704
99,Équipe D'Alphabétisation Nouvelle-Écosse ,546 Main St (Salle des Retraités) ,Cheticamp,NS,546 Main St   Cheticamp NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",None,None
100,Valley Community Learning Association ,118 Oakdene Ave ,Kentville,NS,118 Oakdene Ave  Kentville NS,Classroom ,Valley ,Peter Gillis ,vcla.learning@gmail.com ,Executive Director ,"49 Cornwallis Street, Suite 106 Kentville NS B4N 2E3 ",45.08677835,-64.4931999167941
101,Nova Scotia Community College ,236 Belcher St ,Kentville,NS,236 Belcher St  Kentville NS,None,Valley ,None,None,None,None,45.0857324,-64.48171535578169
102,Annapolis Valley Regional Centre for Education ,18 Jones Rd ,New Minas,NS,18 Jones Rd  New Minas NS,None,Valley ,Doug Rutt ,douglas.rutt@avrce.ca ,Principal ,"18 Jones Rd. New Minas, NS B4N 3N1 ",45.0687477,-64.4499851
103,Preston Area Learning Skills Society ,"979 North Preston Road, Suite 124 (Nelson Whynder Elementary School) ",Dartmouth,NS,"979 North Preston Road, Suite 124   Dartmouth NS",Office + Classroom ,Metro ,Allister Johnson ,1987pals@gmail.com ,Executive Director ,"979 North Preston Road, Suite 124 North Preston NS B2Z 1A2 ",None,None
104,Shelburne County Learning Network ,25C King Street ,Shelburne,NS,25C King Street  Shelburne NS,Classroom ,Southwest ,Monica Gosbee ,mgosbee.scln@gmail.com ,Executive Director ,"3394 Hwy 3, PO Box 441",43.7669664,-65.3114563
105,Nova Scotia Community College ,1575 Lake Rd ,Shelburne,NS,1575 Lake Rd  Shelburne NS,None,Southwest ,None,None,None,None,43.747992763810814,-65.30823100468966
106,Yarmouth County Learning Network ,3B-101 Water St ,Yarmouth,NS,3B-101 Water St  Yarmouth NS,Office + Classroom ,Southwest ,Juanita Bruneau ,juanita@ycln.ca ,Executive Director  ,"Box 20, 3B – 101 Water Street Yarmouth NS B5A 4P4 ",43.8493686,-66.1158515
107,Black Educators' Association ,405 Main St ,Yarmouth,NS,405 Main St  Yarmouth NS,Classroom ,Southwest ,Conrad Grosse ,conrad.grosse@bea-ns.ca ,Coordinator ,2136 Gottingen Street Halifax NS B3K 3B3 ,43.8386003,-66.1194444
108,Nova Scotia Community College ,372 Pleasant St ,Yarmouth,NS,372 Pleasant St  Yarmouth NS,None,Southwest ,None,None,None,None,43.8532653,-66.1032367
109,Cape Breton Victoria Regional Centre for Education ,667 Eighth St ,New Waterford,NS,667 Eighth St  New Waterford NS,None,Cape Breton ,Danielle Aucoin ,bec@gnspes.ca ,Principal ,"667 Eighth St. New Waterford, NS B1H 3T4 ",46.24193587584012,-60.0896132691077
110,Adult Learning Association of Cape Breton County ,487 Heelan Street ,New Waterford,NS,487 Heelan Street  New Waterford NS,Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.249266,-60.09376484444444
111,Cape Breton Victoria Regional Centre for Education ,80 Memorial Dr ,Sydney Mines,NS,80 Memorial Dr  Sydney Mines NS,None,Cape Breton ,None,None,None,"80 Memorial Dr. Sydney Mines, NS B1V 0B4 ",46.2277445,-60.235824155187785
112,Adult Learning Association of Cape Breton County ,765 Main Street ,Sydney Mines,NS,765 Main Street  Sydney Mines NS,Classroom ,Cape Breton ,Karen Blair ,Karen@alacbc.ca ,Executive Director ,"440 George Street, Sydney, NS B1P 1K3  ",46.242090177777776,-60.22901246666667
113,Halifax Regional Centre for Education ,1658 Bedford Highway Suite 0070 ,Bedford,NS,1658 Bedford Highway Suite 0070  Bedford NS,None,Metro ,Jarrett Feeney ,jfeeney@hrce.ca ,Principal ,1658 Bedford Highway Suite 0070 ,None,None
114,Halifax Regional Centre for Education ,136 Pinecrest Dr ,Dartmouth,NS,136 Pinecrest Dr  Dartmouth NS,None,Metro ,Victoria Best ,None,Vice-Principal ,"136 Pinecrest Dr. Dartmouth, NS B3A 1J9 ",44.683707,-63.5879853
115,Nova Scotia Community College ,1 Main St ,Springhill,NS,1 Main St  Springhill NS,None,Northern ,None,None,None,None,45.646769,-64.062164
116,Nova Scotia Community College ,1240 Grand Lake Rd ,Sydney,NS,1240 Grand Lake Rd  Sydney NS,None,Cape Breton ,None,None,None,None,None,None
117,Université Sainte-Anne ,1695 Route 1 ,Chuch Point,NS,1695 Route 1  Chuch Point NS,None,Valley ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,None,None
118,Université Sainte-Anne ,12521 Cabot Trail ,Saint Joseph du Moine,NS,12521 Cabot Trail  Saint Joseph du Moine NS,None,Cape Breton ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,None,None
119,Université Sainte-Anne ,1 Slocomb Cres ,Tusket,NS,1 Slocomb Cres  Tusket NS,None,Southwest ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,43.8696236,-65.9677375
